  0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
  5.00   5.00   5.00   5.00   5.00   5.00   5.00   5.00   5.00   5.00   5.00 
 10.00  10.00  10.00  10.00  10.00  10.00  10.00  10.00  10.00  10.00  10.00 
 15.00  15.00  15.00  15.00  15.00  15.00  15.00  15.00  15.00  15.00  15.00 
 20.00  20.00  20.00  20.00  20.00  20.00  20.00  20.00  20.00  20.00  20.00 
 25.00  25.00  25.00  25.00  25.00  25.00  25.00  25.00  25.00  25.00  25.00 
 30.00  30.00  30.00  30.00  30.00  30.00  30.00  30.00  30.00  30.00  30.00 
 35.00  35.00  35.00  35.00  35.00  35.00  35.00  35.00  35.00  35.00  35.00 
 40.00  40.00  40.00  40.00  40.00  40.00  40.00  40.00  40.00  40.00  40.00 
 45.00  45.00  45.00  45.00  45.00  45.00  45.00  45.00  45.00  45.00  45.00 
 50.00  50.00  50.00  50.00  50.00  50.00  50.00  50.00  50.00  50.00  50.00 
 55.00  55.00  55.00  55.00  55.00  55.00  55.00  55.00  55.00  55.00  55.00 
 60.00  60.00  60.00  60.00  60.00  60.00  60.00  60.00  60.00  60.00  60.00 
 65.00  65.00  65.00  65.00  65.00  65.00  65.00  65.00  65.00  65.00  65.00 
 70.00  70.00  70.00  70.00  70.00  70.00  70.00  70.00  70.00  70.00  70.00 

